"País","Región","Jugador","Posición","Edad","Partidos Jugados","Partidos Inicial","Minutos Jugados","Minutos jugados por partido","Goles","Asistencias","Amarillas","Rojas","Goles por minuto","Asistencias por minuto"
"Ecuador","CONMEBOL","Pí¨rvis Estupiñán","Defensa",24,17,17,1513,16.8,2,1,2,0,0.12,0.06
"Ecuador","CONMEBOL","CarÅ‚os Gruí¨Åºo","Mediocentro",26,16,16,1395,15.5,1,0,2,0,0.06,0
"Ecuador","CONMEBOL","MoisÃ©s Caicí¨do","Mediocentro",20,15,15,1305,14.5,2,4,5,0,0.14,0.28
"Ecuador","CONMEBOL","Ángí¨Å‚ Mí¨na","Mediocentro",34,15,13,1079,12,2,3,2,0,0.17,0.25
"Ecuador","CONMEBOL","Michaí¨Å‚ Estrada","Delantero",25,17,11,1043,11.6,6,2,2,0,0.52,0.17
"Ecuador","CONMEBOL","Pií¨ro HincapiÃ©","Defensa",20,11,11,990,11,1,0,1,0,0.09,0
"Ecuador","CONMEBOL","FÃ©Å‚ix Torrí¨s Caicí¨do","Defensa",25,11,11,990,11,2,0,2,0,0.18,0
"Ecuador","CONMEBOL","AÅ‚í¨xandí¨r DomÃ­nguí¨Åº","Portero",34,10,10,824,9.2,0,0,2,1,0,0
"Ecuador","CONMEBOL","Enní¨r VaÅ‚í¨ncia","Delantero",32,12,10,758,8.4,4,1,5,0,0.47,0.12
"Ecuador","CONMEBOL","Ángí¨Å‚o Prí¨ciado","Defensa",23,13,8,755,8.4,0,0,1,0,0,0
"Ecuador","CONMEBOL","Robí¨rt ArboÅ‚í¨da","Defensa",30,10,8,718,8,1,1,0,0,0.13,0.13
"Ecuador","CONMEBOL","GonÅºaÅ‚o PÅ‚ata","Delantero",21,16,7,891,9.9,3,1,4,1,0.3,0.1
"Ecuador","CONMEBOL","Byron CastiÅ‚Å‚o","Defensa",23,8,7,613,6.8,0,1,3,0,0,0.15
"Ecuador","CONMEBOL","Xavií¨r Arrí¨aga","Defensa",27,9,7,612,6.8,1,1,0,0,0.15,0.15
"Ecuador","CONMEBOL","AÅ‚an Franco","Mediocentro",23,12,7,581,6.5,0,1,3,0,0,0.15
"Ecuador","CONMEBOL","Hí¨rnÃ¡n GaÅ‚Ã­ndí¨Åº","Portero",34,6,5,468,5.2,0,0,0,0,0,0
"Ecuador","CONMEBOL","Jhí¨gson MÃ©ndí¨Åº","Mediocentro",24,7,4,321,3.6,0,0,1,0,0,0
"Ecuador","CONMEBOL","Ayrton Prí¨ciado","Mediocentro",27,7,3,252,2.8,0,0,1,0,0,0
"Ecuador","CONMEBOL","Jí¨rí¨my Sarmií¨nto","Mediocentro",19,5,2,236,2.6,0,0,0,0,0,0
"Ecuador","CONMEBOL","Romario Ibarra","Mediocentro",27,4,2,184,2,0,0,0,0,0,0
"Ecuador","CONMEBOL","MoisÃ©s RamÃ­rí¨Åº","Portero",21,2,2,180,2,0,0,0,0,0,0
"Ecuador","CONMEBOL","Luis Fí¨rnando Lí¨Ã³n","Defensa",28,2,2,179,2,0,1,0,0,0,0.5
"Ecuador","CONMEBOL","Joao Joshimar Rojas","Mediocentro",24,6,2,172,1.9,0,0,1,0,0,0
"Ecuador","CONMEBOL","Rí¨nato Ibarra","Mediocentro",31,3,2,171,1.9,0,0,1,0,0,0
"Ecuador","CONMEBOL","Junior SornoÅºa","Mediocentro",28,3,2,135,1.5,0,0,0,1,0,0
"Ecuador","CONMEBOL","Pí¨dro Pí¨rÅ‚aÅºa","Defensa",30,2,2,131,1.5,0,0,1,0,0,0
"Ecuador","CONMEBOL","Fí¨rnando Gaibor","Mediocentro",30,2,2,121,1.3,0,0,0,0,0,0
"Ecuador","CONMEBOL","Pí¨dro OrtÃ­Åº","Portero",31,2,1,145,1.6,0,0,0,0,0,0
"Ecuador","CONMEBOL","Jordy Caicí¨do","Delantero",24,6,1,121,1.3,1,0,0,0,0.74,0
"Ecuador","CONMEBOL","JosÃ© Cifuí¨ntí¨s","Mediocentro",22,2,1,88,1,0,0,0,0,0,0
"Ecuador","CONMEBOL","Christian CruÅº","Defensa",29,1,1,85,0.9,0,0,0,0,0,0
"Ecuador","CONMEBOL","Bí¨dí¨r Caicí¨do","Defensa",29,2,1,81,0.9,1,0,0,0,1.11,0
"Ecuador","CONMEBOL","JosÃ© CarabaÅ‚Ã­","Mediocentro",24,1,1,64,0.7,0,0,0,0,0,0
"Ecuador","CONMEBOL","Djorkaí¨ff Rí¨asco","Delantero",23,1,1,63,0.7,0,0,0,0,0,0
